device_id,brand,device_type,model_series,warranty_months,price_range
DEV001,Samsung,Smart TV,Samsung SMA-Series,12,Mid-range (15K-40K)
DEV002,Samsung,Air Conditioner,Samsung AIR-Series,24,Budget (< 15K)
DEV003,Samsung,Monitor,Samsung MON-Series,6,Budget (< 15K)
DEV004,Apple,Printer,Apple PRI-Series,24,Budget (< 15K)
DEV005,Apple,Laptop,Apple LAP-Series,24,Mid-range (15K-40K)
DEV006,OnePlus,Washing Machine,OnePlus WAS-Series,18,Budget (< 15K)
DEV007,OnePlus,Tablet,OnePlus TAB-Series,18,Mid-range (15K-40K)
DEV008,OnePlus,Printer,OnePlus PRI-Series,12,Budget (< 15K)
DEV009,OnePlus,Monitor,OnePlus MON-Series,12,Mid-range (15K-40K)
DEV010,Xiaomi,Smartphone,Xiaomi SMA-Series,18,Budget (< 15K)
DEV011,Xiaomi,Washing Machine,Xiaomi WAS-Series,18,Premium (> 40K)
DEV012,Xiaomi,Microwave,Xiaomi MIC-Series,12,Budget (< 15K)
DEV013,Xiaomi,Refrigerator,Xiaomi REF-Series,6,Premium (> 40K)
DEV014,Dell,Refrigerator,Dell REF-Series,24,Budget (< 15K)
DEV015,Dell,Printer,Dell PRI-Series,18,Budget (< 15K)
DEV016,HP,Air Conditioner,HP AIR-Series,18,Mid-range (15K-40K)
DEV017,HP,Monitor,HP MON-Series,12,Premium (> 40K)
DEV018,Lenovo,Microwave,Lenovo MIC-Series,18,Mid-range (15K-40K)
DEV019,Lenovo,Printer,Lenovo PRI-Series,12,Premium (> 40K)
DEV020,Lenovo,Smartphone,Lenovo SMA-Series,12,Budget (< 15K)
DEV021,Lenovo,Monitor,Lenovo MON-Series,18,Mid-range (15K-40K)
DEV022,Asus,Refrigerator,Asus REF-Series,18,Budget (< 15K)
DEV023,Asus,Washing Machine,Asus WAS-Series,18,Premium (> 40K)
DEV024,Acer,Microwave,Acer MIC-Series,12,Mid-range (15K-40K)
DEV025,Acer,Monitor,Acer MON-Series,6,Budget (< 15K)
DEV026,Acer,Smartphone,Acer SMA-Series,12,Premium (> 40K)
DEV027,Acer,Tablet,Acer TAB-Series,6,Premium (> 40K)
DEV028,Sony,Smart TV,Sony SMA-Series,24,Budget (< 15K)
DEV029,Sony,Monitor,Sony MON-Series,12,Premium (> 40K)
DEV030,LG,Refrigerator,LG REF-Series,24,Premium (> 40K)
DEV031,LG,Laptop,LG LAP-Series,18,Budget (< 15K)
DEV032,LG,Tablet,LG TAB-Series,6,Budget (< 15K)
DEV033,LG,Smartphone,LG SMA-Series,6,Budget (< 15K)
DEV034,Motorola,Printer,Motorola PRI-Series,18,Mid-range (15K-40K)
DEV035,Motorola,Laptop,Motorola LAP-Series,24,Mid-range (15K-40K)
DEV036,Motorola,Smart TV,Motorola SMA-Series,24,Mid-range (15K-40K)
DEV037,Realme,Smartphone,Realme SMA-Series,6,Premium (> 40K)
DEV038,Realme,Refrigerator,Realme REF-Series,6,Premium (> 40K)
DEV039,Realme,Laptop,Realme LAP-Series,6,Premium (> 40K)
DEV040,Vivo,Air Conditioner,Vivo AIR-Series,6,Mid-range (15K-40K)
DEV041,Vivo,Printer,Vivo PRI-Series,18,Premium (> 40K)
DEV042,Oppo,Washing Machine,Oppo WAS-Series,24,Mid-range (15K-40K)
DEV043,Oppo,Microwave,Oppo MIC-Series,6,Mid-range (15K-40K)
